Contract,tenure,MonthlyCharges,InternetService_No,InternetService_Fiber optic,OnlineSecurity,TechSupport,PaperlessBilling,SeniorCitizen,is_Autometic_payment,Churn
0,11,50.55,False,False,1,0,0,0,0,0
0,7,75.15,False,True,0,0,1,0,1,1
0,42,103.8,False,True,0,1,1,0,1,0
2,49,20.15,True,False,0,0,1,0,1,0
0,9,99.3,False,True,0,0,1,0,1,0
1,35,62.15,False,False,1,0,1,0,1,0
2,48,20.65,True,False,0,0,0,0,1,0
2,46,19.95,True,False,0,0,1,0,0,0
0,29,33.75,False,False,0,0,0,0,0,0
0,30,82.05,False,True,0,0,0,0,1,0
0,1,74.7,False,True,0,1,0,1,0,0
2,66,84.0,False,False,1,1,1,0,0,0
0,65,111.05,False,True,1,0,1,0,1,0
2,72,100.9,False,True,0,0,1,0,1,0
0,12,78.95,False,True,1,0,1,0,0,1
1,71,66.85,False,False,1,1,1,0,1,0
0,5,21.05,True,False,0,0,0,0,0,1
2,52,21.0,True,False,0,0,0,0,1,0
0,25,98.5,False,True,0,0,1,1,0,1
0,1,20.2,True,False,0,0,0,0,0,0
0,1,19.45,True,False,0,0,0,0,0,0
1,38,95.0,False,True,0,1,0,0,1,0
1,66,45.55,False,False,0,0,0,1,1,0
2,68,110.0,False,True,0,1,1,0,1,1
0,5,24.3,False,False,0,0,0,0,0,0
1,72,104.15,False,True,1,0,1,0,0,0
1,32,30.15,False,False,1,0,0,0,0,0
1,43,94.35,False,True,0,0,0,0,0,0
2,72,19.4,True,False,0,0,0,0,1,0
0,55,96.75,False,True,1,0,1,0,0,1
1,52,57.95,False,False,1,1,0,0,1,0
0,43,91.65,False,True,0,0,1,0,0,0
0,37,76.5,False,True,0,0,1,1,0,1
2,64,54.6,False,False,0,1,1,0,0,0
0,3,89.85,False,True,1,0,0,0,0,0
2,36,31.05,False,False,1,0,0,0,1,0
0,10,100.25,False,True,1,0,1,0,0,1
2,41,20.65,True,False,0,0,0,0,0,0
0,27,85.2,False,True,0,1,1,0,1,0
1,56,99.8,False,True,0,0,1,0,1,0
0,6,20.7,True,False,0,0,0,0,0,0
0,3,74.4,False,True,0,0,1,0,0,1
0,7,50.7,False,False,1,0,0,0,0,0
0,4,20.85,True,False,0,0,0,0,0,0
2,33,88.95,False,True,1,1,1,0,0,0
0,27,78.05,False,True,0,0,1,1,0,1
2,72,23.55,True,False,0,0,1,0,1,0
0,1,19.75,True,False,0,0,0,0,0,0
1,71,56.45,False,False,1,0,1,1,0,0
0,13,85.95,False,True,0,0,1,0,0,0
0,25,58.6,False,False,1,0,1,0,1,1
2,67,50.55,False,False,0,1,0,0,1,0
0,1,35.45,False,False,0,0,1,0,0,1
0,2,44.35,False,False,0,0,0,0,0,1
2,43,25.7,True,False,0,0,1,0,1,0
0,23,75.0,False,True,1,0,1,0,1,0
2,64,20.2,True,False,0,0,0,0,0,0
2,57,19.6,True,False,0,0,1,0,0,0
0,1,70.45,False,True,0,0,1,1,0,1
2,72,88.05,False,False,1,1,1,1,1,0
0,8,71.15,False,False,1,1,0,0,0,1
2,61,101.05,False,True,0,0,1,0,1,0
1,64,84.3,False,True,1,0,1,0,1,0
2,71,23.95,True,False,0,0,0,1,1,0
2,65,99.05,False,True,1,1,1,0,1,0
1,3,19.6,True,False,0,0,0,0,0,0
0,1,45.65,False,False,0,0,1,0,0,1
1,30,64.5,False,False,0,0,0,0,1,0
0,15,69.5,False,False,0,1,1,0,0,0
0,8,68.55,False,False,0,1,1,0,0,0
0,7,95.0,False,True,0,0,0,0,0,1
1,70,108.15,False,True,1,0,1,0,1,0
2,62,86.1,False,False,1,1,0,0,0,0
0,6,19.7,True,False,0,0,0,0,0,0
0,14,80.9,False,True,0,0,1,0,1,0
0,22,84.15,False,True,0,0,1,0,1,0
1,22,20.15,True,False,0,0,0,0,0,0
2,16,64.25,False,False,1,0,0,0,0,0
2,10,25.7,True,False,0,0,0,0,1,0
0,13,56.0,False,False,1,0,1,0,0,0
0,20,82.4,False,True,1,0,0,0,0,1
0,2,69.7,False,True,0,0,1,0,0,0
2,53,73.9,False,False,0,1,1,0,1,0
1,11,20.6,True,False,0,0,0,0,0,0
2,69,19.9,True,False,0,0,0,0,0,0
0,4,70.9,False,True,0,0,1,0,1,1
2,72,89.05,False,False,1,1,1,0,1,0
0,58,45.3,False,False,0,0,1,1,0,1
0,16,20.4,True,False,0,0,0,0,0,0
1,43,84.25,False,True,1,1,1,0,1,0
0,2,104.4,False,True,0,1,1,0,0,1
2,14,81.95,False,False,0,1,0,0,0,0
1,53,94.85,False,True,0,0,1,0,1,1
1,32,20.55,True,False,0,0,0,0,1,0
0,34,24.7,True,False,0,0,0,0,0,0
0,15,74.45,False,True,0,0,1,1,0,1
0,7,76.45,False,True,1,0,0,1,1,1
0,15,105.35,False,True,0,0,1,0,1,0
1,61,20.55,True,False,0,0,1,0,1,0
0,1,29.95,False,False,0,0,0,0,1,1
0,1,45.3,False,False,0,0,0,0,0,0
0,8,84.5,False,True,0,0,0,0,1,1
1,33,74.75,False,False,1,0,0,0,1,0
0,13,79.25,False,True,0,0,1,0,0,1
0,1,24.8,False,False,0,0,1,0,0,1
0,20,51.8,False,False,0,0,1,0,0,0
0,3,30.4,False,False,0,1,0,0,0,0
1,13,19.65,True,False,0,0,0,0,0,0
0,40,56.6,False,False,0,0,0,0,1,0
1,43,71.9,False,False,1,1,1,0,1,0
0,6,91.0,False,True,0,0,1,0,0,1
2,69,19.75,True,False,0,0,0,0,1,0
2,72,109.7,False,True,1,0,0,0,1,0
2,59,19.3,True,False,0,0,0,0,1,0
0,20,96.55,False,True,1,1,1,0,0,0
2,24,24.1,True,False,0,0,1,0,1,0
0,59,111.35,False,True,0,1,1,0,0,0
2,72,112.25,False,True,0,1,1,0,1,0
0,1,20.75,True,False,0,0,0,0,0,0
1,27,101.9,False,True,1,1,1,0,1,0
0,14,80.05,False,True,0,1,1,0,1,0
2,71,105.55,False,True,1,0,0,0,0,0
0,13,78.3,False,True,0,0,1,0,1,0
0,44,68.85,False,True,0,0,0,0,1,0
1,33,79.95,False,True,0,1,1,0,1,0
2,72,55.45,False,False,1,1,1,0,1,0
0,1,79.9,False,True,0,0,0,0,0,1
0,19,106.6,False,True,1,1,1,0,0,1
1,64,102.45,False,True,0,1,1,0,1,0
0,2,46.0,False,False,0,0,1,0,1,1
0,1,25.25,False,False,0,0,0,0,0,0
2,61,19.75,True,False,0,0,0,0,0,0
1,29,20.0,True,False,0,0,0,0,0,0
0,23,86.8,False,True,0,0,0,1,0,0
0,57,58.75,False,False,1,0,1,0,1,0
2,72,45.25,False,False,1,1,0,0,1,0
2,66,56.6,False,False,1,1,1,0,1,0
2,65,84.2,False,False,0,1,1,0,1,0
0,8,80.0,False,True,0,0,1,0,1,0
0,4,70.15,False,True,0,0,1,0,0,1
2,71,24.75,True,False,0,0,0,0,1,0
1,1,20.2,True,False,0,0,1,0,0,0
0,4,50.05,False,False,0,1,0,0,0,1
1,12,19.35,True,False,0,0,1,0,1,0
1,24,50.6,False,False,1,0,1,0,0,0
1,31,81.15,False,False,1,1,1,0,0,0
0,1,55.2,False,False,0,0,0,0,0,1
0,30,89.9,False,True,0,1,1,0,1,0
2,47,85.3,False,False,1,1,1,0,1,0
2,54,108.0,False,True,1,1,1,0,1,0
0,50,93.5,False,True,1,1,1,0,1,0
0,1,84.6,False,True,1,0,1,0,0,1
2,72,20.25,True,False,0,0,0,0,1,0
0,29,25.15,True,False,0,0,0,0,0,0
0,2,54.4,False,False,0,0,1,0,0,1
2,10,29.6,False,False,0,1,1,0,0,0
0,18,73.15,False,True,0,0,1,0,0,0
0,11,95.0,False,True,0,0,1,1,0,1
2,16,19.75,True,False,0,0,0,0,0,0
2,72,86.6,False,False,0,1,0,0,1,0
2,72,109.2,False,True,0,1,0,0,1,0
1,41,74.7,False,False,1,1,1,0,1,0
0,65,94.4,False,True,1,0,0,1,0,0
0,13,54.8,False,False,0,0,1,1,0,0
0,4,75.35,False,True,1,0,0,1,0,0
1,41,65.0,False,False,0,0,0,0,0,0
0,15,74.4,False,True,0,0,1,1,0,1
0,1,48.55,False,False,1,0,1,0,0,1
1,42,99.0,False,True,1,0,1,0,0,0
1,51,93.5,False,True,1,0,1,0,0,0
0,2,70.4,False,True,0,0,0,0,0,1
0,1,40.2,False,False,0,0,0,1,0,1
1,32,83.7,False,False,0,1,0,0,1,0
0,10,19.85,True,False,0,0,1,0,0,0
2,67,59.55,False,False,0,1,1,0,0,0
2,61,115.1,False,True,1,1,0,0,1,0
1,50,114.35,False,True,1,1,0,0,1,0
0,2,44.6,False,False,0,0,1,0,1,1
0,29,45.0,False,False,1,0,1,1,0,0
0,3,41.15,False,False,0,0,1,1,0,1
0,13,106.9,False,True,0,0,1,1,0,1
0,57,89.85,False,True,0,0,1,1,0,0
2,31,49.85,False,False,1,1,1,0,1,0
1,45,113.3,False,True,1,1,0,0,0,0
2,61,88.1,False,False,1,1,0,0,0,0
2,50,24.9,True,False,0,0,0,0,1,0
0,19,105.0,False,True,1,1,1,1,0,0
2,59,19.35,True,False,0,0,0,0,0,1
2,71,24.25,True,False,0,0,1,0,1,0
0,16,94.45,False,True,0,1,1,1,0,1
2,57,59.75,False,False,1,1,1,0,0,0
0,1,24.8,False,False,0,0,0,0,1,1
0,20,107.05,False,True,0,1,0,1,0,0
0,1,70.6,False,True,0,0,0,0,0,1
0,5,85.4,False,True,0,1,1,0,0,1
0,52,105.05,False,True,0,0,1,0,0,1
0,21,64.95,False,False,1,0,1,1,1,0
0,14,55.0,False,False,0,1,1,0,0,0
0,5,50.55,False,False,0,0,0,0,1,0
0,6,55.15,False,False,1,0,0,0,0,0
0,10,51.2,False,False,0,0,0,0,0,0
0,1,25.4,True,False,0,0,0,0,0,0
0,68,54.45,False,False,1,0,0,0,0,0
0,18,95.15,False,True,0,0,0,0,0,1
1,22,76.0,False,True,0,0,1,0,1,0
0,20,44.35,False,False,0,0,1,0,0,0
0,1,70.0,False,True,0,0,0,0,0,1
0,8,74.5,False,True,0,0,1,1,0,1
0,10,44.85,False,False,0,0,1,0,1,1
0,24,76.1,False,True,0,0,1,1,0,1
1,35,61.2,False,False,1,0,0,0,0,0
1,23,86.8,False,True,0,1,0,0,0,0
0,6,89.35,False,True,0,0,1,1,0,0
0,12,19.7,True,False,0,0,0,0,0,0
0,1,20.25,True,False,0,0,0,0,0,0
2,71,76.05,False,True,0,0,0,0,0,0
0,35,100.8,False,True,0,0,1,1,0,0
0,40,74.55,False,False,0,0,1,0,0,0
0,1,73.6,False,True,1,0,1,0,0,1
1,23,64.9,False,False,0,0,1,0,1,0
0,4,95.45,False,True,0,0,1,1,0,1
0,4,90.4,False,True,0,1,1,0,0,0
2,68,60.3,False,False,0,1,0,0,1,0
0,38,81.85,False,True,0,0,1,0,0,0
2,52,24.8,True,False,0,0,0,0,0,0
0,32,74.9,False,True,0,0,1,1,0,1
2,29,75.55,False,False,0,1,0,0,0,0
0,38,101.15,False,True,0,0,0,1,0,0
1,48,78.75,False,False,1,0,1,0,1,0
0,1,19.25,True,False,0,0,1,0,1,0
0,22,89.05,False,True,1,1,1,0,0,0
2,43,115.05,False,True,1,1,0,0,1,0
0,5,69.35,False,True,0,0,1,1,0,0
0,5,80.6,False,True,0,0,1,0,0,1
1,51,110.05,False,True,1,1,0,0,1,0
2,71,19.9,True,False,0,0,1,0,1,0
1,38,80.3,False,False,1,1,0,0,1,1
0,24,93.15,False,True,0,0,1,1,0,1
0,35,91.5,False,True,0,1,1,0,1,0
1,54,82.45,False,False,1,1,0,1,1,1
2,72,60.0,False,False,0,1,1,0,0,0
0,1,44.8,False,False,0,0,1,0,0,0
1,9,48.6,False,False,1,0,0,0,0,0
2,69,60.05,False,False,1,1,1,0,1,0
0,52,102.7,False,True,0,1,1,0,1,0
0,11,82.9,False,True,0,1,1,1,0,0
0,2,70.35,False,True,0,0,1,1,0,1
0,28,35.9,False,False,0,0,1,1,0,0
0,17,82.65,False,True,0,0,1,1,1,0
2,35,19.85,True,False,0,0,1,0,0,0
1,8,19.2,True,False,0,0,1,0,0,0
1,46,94.9,False,True,0,0,1,0,1,0
0,7,73.85,False,True,0,0,1,0,0,1
0,2,80.6,False,True,0,0,0,0,0,1
1,68,75.8,False,False,0,1,1,0,1,1
2,43,104.6,False,True,0,0,1,0,0,1
2,68,88.15,False,False,1,1,1,0,0,0
0,36,94.8,False,True,0,0,1,0,1,0
0,63,103.4,False,True,0,0,1,0,0,1
0,32,54.65,False,False,0,1,0,1,1,0
2,71,85.75,False,False,1,1,0,0,1,0
0,66,67.45,False,False,1,0,1,0,1,0
1,63,20.5,True,False,0,0,0,0,0,0
1,41,20.25,True,False,0,0,1,0,1,0
0,1,72.1,False,True,0,0,1,1,0,0
0,2,90.4,False,True,0,0,1,0,0,1
2,70,19.45,True,False,0,0,0,0,1,0
0,23,44.95,False,False,0,0,1,0,0,0
1,64,97.0,False,True,1,0,0,1,1,0
2,37,62.8,False,False,1,1,1,0,1,0
1,17,44.6,False,False,0,0,0,0,0,0
0,7,89.15,False,True,0,0,1,1,0,0
0,4,84.8,False,True,0,0,1,0,1,1
0,21,41.9,False,False,1,0,1,1,0,1
0,10,80.25,False,True,0,0,1,0,1,1
0,16,54.1,False,False,1,0,1,1,0,0
2,64,105.25,False,True,0,1,1,0,0,0
0,27,30.75,False,False,1,0,0,1,1,1
1,42,97.1,False,True,1,0,0,0,0,0
0,5,20.2,True,False,0,0,0,0,0,0
2,41,98.8,False,True,0,1,1,0,1,0
1,58,50.3,False,False,0,0,0,0,1,0
2,47,20.55,True,False,0,0,1,0,0,0
0,18,75.9,False,True,0,1,1,0,1,0
0,5,96.5,False,True,0,0,0,0,1,1
0,23,59.95,False,False,1,0,1,0,1,0
0,1,19.15,True,False,0,0,0,0,0,0
1,71,98.65,False,True,0,0,1,0,1,0
2,72,112.6,False,True,1,1,1,0,1,0
1,33,20.6,True,False,0,0,0,0,0,0
0,2,85.65,False,True,0,0,1,0,0,1
2,24,35.75,False,False,1,1,0,0,0,0
1,56,99.75,False,True,0,1,1,0,1,0
0,37,96.1,False,True,0,0,1,0,1,0
1,43,85.1,False,False,0,1,0,0,1,0
0,1,25.35,False,False,0,0,0,0,0,0
0,25,104.95,False,True,0,1,1,0,1,1
2,61,89.65,False,False,1,1,0,0,0,0
1,17,86.75,False,True,0,1,0,0,0,0
1,41,86.2,False,True,0,1,1,0,1,0
0,1,50.65,False,False,0,0,0,0,0,1
2,72,64.8,False,False,1,1,1,1,1,0
0,1,90.85,False,True,0,0,1,0,1,1
2,48,108.1,False,True,0,0,1,0,1,0
0,11,19.95,True,False,0,0,0,1,0,1
0,55,85.45,False,True,0,0,1,1,0,1
1,42,54.75,False,False,1,1,1,0,0,0
0,44,90.4,False,True,0,0,1,0,0,0
0,1,44.0,False,False,0,0,0,0,0,0
0,27,95.6,False,True,0,0,1,0,1,0
0,27,84.8,False,False,0,1,1,1,1,0
0,2,44.3,False,False,0,0,1,1,0,0
0,19,19.9,True,False,0,0,0,0,0,0
0,42,95.05,False,True,0,0,1,1,0,0
2,66,90.05,False,False,1,1,1,0,1,0
0,33,109.9,False,True,1,1,1,1,1,0
0,34,73.95,False,True,0,0,1,0,1,1
0,33,54.6,False,False,0,1,1,1,0,0
1,23,20.05,True,False,0,0,0,0,0,0
1,32,19.75,True,False,0,0,0,0,1,0
1,11,20.05,True,False,0,0,0,0,1,0
0,69,99.45,False,True,0,0,1,0,1,1
1,68,55.9,False,False,1,1,0,0,1,0
2,20,19.7,True,False,0,0,1,0,0,0
2,72,19.8,True,False,0,0,1,0,1,0
1,60,95.4,False,True,1,0,1,0,1,0
0,32,93.95,False,True,0,0,1,1,0,0
0,1,19.9,True,False,0,0,1,0,0,1
0,1,19.6,True,False,0,0,1,0,0,1
0,3,81.35,False,True,0,0,1,1,0,1
1,46,24.45,True,False,0,0,1,0,1,0
0,29,74.95,False,True,0,0,1,0,0,0
0,51,87.35,False,True,0,1,1,0,0,0
0,48,70.65,False,True,0,0,1,1,1,0
0,16,73.25,False,True,0,0,0,0,1,0
2,70,98.7,False,True,0,1,1,0,1,0
2,40,24.8,True,False,0,0,1,0,0,0
0,22,83.3,False,True,0,0,0,0,0,1
0,1,75.3,False,True,0,0,1,1,1,1
0,5,24.3,True,False,0,0,1,0,0,0
0,7,69.85,False,True,0,0,1,0,1,0
1,29,100.55,False,True,0,1,0,0,1,0
1,44,25.7,True,False,0,0,0,0,0,0
0,10,40.7,False,False,1,0,0,0,1,0
0,55,51.65,False,False,0,0,0,1,1,0
1,52,105.1,False,True,0,0,1,1,1,0
0,10,85.95,False,True,0,0,0,0,0,0
0,18,75.6,False,True,0,0,1,0,1,0
1,68,58.25,False,False,1,1,0,0,1,0
0,61,19.4,True,False,0,0,1,0,0,1
2,72,65.2,False,False,1,1,1,0,1,0
0,2,53.45,False,False,1,0,0,0,0,0
0,12,45.4,False,False,0,0,1,0,1,1
2,41,19.75,True,False,0,0,1,0,0,0
0,26,44.45,False,False,0,1,1,0,1,0
1,36,20.85,True,False,0,0,0,0,1,0
2,72,114.05,False,True,1,1,1,0,1,0
0,35,89.85,False,True,0,1,1,0,1,0
0,1,55.05,False,False,0,1,0,0,0,0
0,16,112.95,False,True,1,1,1,0,0,0
0,49,101.55,False,True,1,0,0,1,1,0
1,54,114.65,False,True,1,1,1,0,0,0
0,18,64.8,False,False,1,0,0,0,0,0
0,36,80.4,False,True,0,0,0,0,0,0
0,60,105.9,False,True,0,0,1,0,0,1
0,1,69.55,False,True,0,0,0,0,0,1
2,52,25.05,True,False,0,0,1,0,1,0
0,8,94.75,False,True,0,0,1,0,0,0
2,72,105.5,False,True,1,1,0,0,1,0
1,64,24.7,True,False,0,0,0,0,0,0
0,22,69.75,False,False,1,1,1,1,0,0
0,60,60.2,False,False,0,1,1,0,1,0
0,28,81.05,False,True,0,0,1,0,0,1
2,61,24.4,True,False,0,0,0,0,0,0
0,24,104.15,False,True,0,0,1,0,0,0
1,28,92.9,False,True,0,1,0,0,1,0
2,30,80.8,False,False,0,1,0,0,1,0
0,2,20.0,True,False,0,0,0,0,0,0
0,1,75.1,False,True,0,0,1,0,0,0
0,6,19.65,True,False,0,0,0,0,0,0
0,24,69.45,False,False,0,0,1,0,1,0
0,4,101.15,False,True,0,0,0,0,0,1
0,7,99.8,False,True,0,0,1,0,0,1
2,72,116.05,False,True,1,1,1,1,1,0
2,70,40.05,False,False,0,1,1,0,0,0
2,64,102.1,False,True,0,1,0,1,0,0
1,72,89.7,False,True,0,0,1,0,0,0
2,44,19.9,True,False,0,0,0,0,0,0
0,13,55.95,False,False,0,0,0,0,0,1
1,17,20.65,True,False,0,0,0,1,0,0
0,1,55.0,False,False,0,0,1,0,0,1
0,9,70.05,False,False,0,0,1,0,0,0
0,24,53.6,False,False,1,1,0,0,0,0
0,1,74.7,False,True,0,0,1,0,0,1
0,24,80.25,False,True,0,0,1,0,0,1
0,35,76.05,False,False,0,1,1,1,0,0
0,7,75.7,False,False,1,1,1,0,0,0
0,5,96.1,False,True,0,1,1,0,0,1
0,15,69.0,False,True,0,0,0,0,1,1
2,11,19.65,True,False,0,0,0,0,0,0
0,48,45.3,False,False,1,0,1,0,1,1
0,20,81.45,False,True,0,0,1,1,0,0
1,72,108.5,False,True,0,1,1,0,1,0
0,8,83.55,False,True,0,0,1,0,0,1
2,72,84.5,False,True,0,0,1,0,1,0
0,15,100.15,False,True,0,0,1,0,0,0
2,72,88.6,False,False,0,1,1,0,1,0
2,0,52.55,False,False,1,1,1,0,1,0
0,1,74.35,False,True,0,0,1,0,0,1
2,63,104.8,False,True,0,0,1,0,1,0
0,2,59.0,False,False,0,0,1,0,0,0
0,2,74.4,False,True,1,0,1,0,0,1
1,61,64.05,False,False,0,0,0,1,1,0
0,1,20.4,True,False,0,0,0,0,0,0
1,22,43.75,False,False,0,0,1,0,1,1
0,28,60.9,False,False,1,1,0,0,0,0
2,70,19.8,True,False,0,0,0,0,1,0
0,5,28.45,False,False,0,0,0,1,0,1
0,12,99.7,False,True,1,0,1,0,1,1
1,34,116.25,False,True,1,1,0,0,1,0
2,71,80.7,False,True,1,0,1,1,1,0
1,70,65.2,False,False,1,0,0,0,1,0
0,52,84.05,False,True,1,1,1,0,1,0
2,69,79.45,False,False,1,1,1,0,1,0
0,20,94.1,False,True,0,0,1,1,0,1
0,11,78.0,False,True,0,0,1,0,0,0
0,2,94.2,False,True,0,1,1,0,0,1
0,6,80.5,False,True,0,1,1,0,0,1
0,1,19.85,True,False,0,0,0,0,0,0
1,20,94.3,False,True,1,1,0,1,1,0
0,61,106.45,False,True,1,0,1,0,0,0
0,5,74.35,False,True,0,0,1,1,0,1
0,56,105.45,False,True,0,1,1,0,1,0
0,30,95.0,False,True,1,1,1,0,1,0
0,40,104.8,False,True,0,1,0,0,1,1
1,28,54.3,False,False,1,1,0,0,0,0
0,5,70.05,False,True,0,0,0,1,0,0
0,27,75.2,False,True,1,0,1,1,1,1
0,12,20.05,True,False,0,0,0,0,1,0
1,67,105.4,False,True,0,0,1,0,0,0
0,29,51.6,False,False,0,0,1,1,0,0
0,55,85.5,False,True,0,0,0,0,1,0
0,23,75.6,False,True,0,0,0,0,1,1
0,34,100.05,False,True,0,0,1,0,0,1
1,52,91.25,False,True,1,0,0,0,0,0
2,72,115.75,False,True,1,1,1,1,1,0
1,58,94.7,False,True,0,1,1,0,1,0
2,35,19.6,True,False,0,0,0,0,0,0
2,56,99.9,False,True,0,1,1,1,1,0
2,24,21.1,True,False,0,0,1,0,1,0
2,70,20.05,True,False,0,0,0,0,1,0
0,2,79.95,False,True,0,0,1,0,0,0
1,68,107.15,False,True,0,1,1,1,1,0
0,1,85.0,False,True,0,0,1,0,0,1
0,12,89.55,False,True,0,0,1,0,0,0
0,63,81.55,False,True,0,0,1,0,1,0
1,33,58.45,False,False,1,0,1,0,0,0
1,69,95.65,False,True,0,0,1,0,1,0
2,60,80.6,False,False,0,1,1,0,1,0
2,72,113.1,False,True,1,1,1,0,1,0
0,11,58.95,False,False,0,0,1,0,0,0
0,1,19.55,True,False,0,0,0,0,0,0
0,10,86.05,False,True,0,0,1,0,1,1
0,13,45.55,False,False,1,1,1,0,1,1
1,34,78.95,False,True,0,0,1,0,1,0
0,39,86.3,False,True,0,0,1,0,0,1
1,65,105.05,False,True,0,1,1,0,1,0
1,50,101.9,False,True,1,0,1,1,1,0
0,15,19.75,True,False,0,0,0,0,0,0
2,72,110.3,False,True,1,0,1,0,1,0
2,72,115.6,False,True,1,1,1,0,1,0
2,55,19.35,True,False,0,0,0,0,1,0
2,23,25.6,True,False,0,0,1,0,1,0
0,32,80.35,False,True,0,0,1,0,1,1
1,56,68.75,False,False,1,0,1,0,1,0
0,1,19.9,True,False,0,0,0,0,1,0
1,38,70.6,False,False,1,1,0,0,0,0
0,11,70.2,False,True,0,0,0,0,0,0
0,1,49.3,False,False,0,1,1,0,0,0
1,56,107.25,False,True,0,1,1,0,0,0
0,3,23.6,True,False,0,0,1,0,0,0
0,7,69.7,False,False,1,0,0,0,1,0
2,59,99.5,False,True,0,0,1,0,1,0
0,7,64.3,False,False,0,1,0,0,1,0
2,71,70.85,False,False,1,1,1,0,1,0
1,15,101.9,False,True,1,1,0,0,0,0
2,71,73.5,False,False,1,1,0,0,1,0
0,35,100.25,False,True,0,0,1,0,0,1
1,11,40.4,False,False,0,1,1,0,1,0
2,60,19.25,True,False,0,0,1,0,1,0
2,47,59.6,False,False,0,1,0,1,1,0
1,11,64.9,False,False,0,1,0,0,1,0
1,56,100.3,False,True,0,0,0,0,1,1
0,28,110.85,False,True,0,1,1,1,0,0
2,61,81.05,False,False,1,1,1,0,0,0
